Image Name                     PID Session Name        Session#    Mem Usage
conhost.exe                  85444 Console                    1        324 K
wslhost.exe                  61916 Console                    1         20 K
conhost.exe                  84288 Console                    1        324 K
Antigravity.exe              56264 Console                    1     72,564 K
Antigravity.exe              57024 Console                    1    304,492 K
Antigravity.exe              57036 Console                    1    131,896 K
Antigravity.exe              57264 Console                    1      7,856 K
conhost.exe                 177336 Console                    1        280 K
powershell.exe              186168 Console                    1        812 K
conhost.exe                 188012 Console                    1        280 K
powershell.exe              126164 Console                    1        812 K
language_server_windows_x   186244 Console                    1    319,732 K
conhost.exe                 185688 Console                    1        168 K
Antigravity.exe             183368 Console                    1      1,560 K
Antigravity.exe              60372 Console                    1      1,476 K
gk.exe                       62100 Console                    1        360 K
gk.exe                      160132 Console                    1      8,344 K
Antigravity.exe             139900 Console                    1      1,560 K
Antigravity.exe             194260 Console                    1      2,364 K
conhost.exe                 193540 Console                    1        396 K
powershell.exe              105124 Console                    1      3,464 K
comet.exe                    61700 Console                    1     85,660 K
comet.exe                    94004 Console                    1      2,568 K
comet.exe                    93352 Console                    1     11,820 K
comet.exe                   109192 Console                    1     25,644 K
comet.exe                    86104 Console                    1      2,736 K
comet.exe                   107692 Console                    1     32,480 K
comet.exe                    45644 Console                    1     21,176 K
comet.exe                   198756 Console                    1      5,088 K
comet.exe                    93924 Console                    1     21,732 K
comet.exe                   109180 Console                    1     11,580 K
comet.exe                    85884 Console                    1      7,152 K
comet.exe                   110584 Console                    1     17,484 K
comet.exe                   114308 Console                    1     11,332 K
OneDrive.exe                158564 Console                    1     37,896 K
OneDrive.Sync.Service.exe   135936 Console                    1      8,324 K
FileSyncHelper.exe           46552 Services                   0      5,340 K
msedge.exe                  173284 Console                    1     66,520 K
msedge.exe                  121244 Console                    1      1,068 K
msedge.exe                   61744 Console                    1     14,672 K
msedge.exe                    2548 Console                    1     21,260 K
msedge.exe                  124948 Console                    1      3,572 K
msedge.exe                   45360 Console                    1     29,188 K
svchost.exe                  80544 Services                   0      7,404 K
msedge.exe                  128128 Console                    1     12,060 K
msedgewebview2.exe          117536 Console                    1     23,008 K
msedgewebview2.exe          125056 Console                    1        500 K
msedgewebview2.exe           42564 Console                    1     21,272 K
msedgewebview2.exe           51216 Console                    1      5,344 K
msedgewebview2.exe          116764 Console                    1      2,872 K
msedgewebview2.exe          111164 Console                    1      4,568 K
msedgewebview2.exe          172256 Console                    1      7,928 K
WWAHost.exe                 131992 Console                    1      7,880 K
RuntimeBroker.exe            53616 Console                    1      2,280 K
CredentialUIBroker.exe      130824 Console                    1      9,108 K
WD-TabNine.exe              108412 Console                    1      4,584 K
conhost.exe                  92576 Console                    1        280 K
powershell.exe               91116 Console                    1        808 K
msedge.exe                   40752 Console                    1      3,916 K
msedge.exe                   65576 Console                    1      4,948 K
conhost.exe                 192932 Console                    1        476 K
powershell.exe               97008 Console                    1      3,656 K
conhost.exe                 162624 Console                    1        280 K
pwahelper.exe                52160 Console                    1        828 K
msedge.exe                  112440 Console                    1     15,464 K
msedge.exe                  202704 Console                    1      5,728 K
msedge.exe                   90284 Console                    1      6,516 K
msedge.exe                  122648 Console                    1      2,760 K
msedge.exe                  124444 Console                    1      6,776 K
msedge.exe                  106028 Console                    1      4,284 K
msedge.exe                   69028 Console                    1      3,492 K
chrome.exe                  163616 Console                    1      5,104 K
Code.exe                    193180 Console                    1    214,360 K
comet.exe                   197688 Console                    1     15,252 K
WmiApSrv.exe                125216 Services                   0      6,868 K
SearchProtocolHost.exe       98376 Services                   0      8,872 K
msedge.exe                  175156 Console                    1     50,628 K
smartscreen.exe             185244 Console                    1     12,756 K
Code.exe                     51612 Console                    1    207,620 K
svchost.exe                 142328 Services                   0     15,020 K
bash.exe                     33552 Console                    1      7,744 K
bash.exe                    147388 Console                    1     12,436 K
conhost.exe                  56612 Console                    1      7,112 K
